satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,id_employe,age,genre,revenu_mensuel,statut_marital,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
2,3,4,1,1,3,Oui,1,41,F,5993,Célibataire,Cadre Commercial,8,6,1,0,0,1,2,Infra & Cloud,Occasionnel,0
3,2,2,4,3,4,Non,2,49,M,5130,Marié(e),Assistant de Direction,1,10,0,1,3,8,1,Infra & Cloud,Frequent,1
4,2,3,2,3,3,Oui,4,37,M,2090,Célibataire,Consultant,6,0,1,0,3,2,2,Autre,Occasionnel,0
4,3,3,3,3,3,Oui,5,33,F,2909,Marié(e),Assistant de Direction,1,8,0,0,3,3,4,Infra & Cloud,Frequent,3
1,3,2,4,3,3,Non,7,27,M,3468,Marié(e),Consultant,9,2,0,1,3,2,1,Transformation Digitale,Occasionnel,2
4,3,4,3,2,3,Non,8,32,M,3068,Célibataire,Consultant,0,7,0,0,2,2,2,Infra & Cloud,Frequent,3
3,4,1,1,2,4,Oui,10,59,F,2670,Marié(e),Consultant,4,1,0,3,3,3,3,Transformation Digitale,Occasionnel,0
4,3,3,2,3,4,Non,11,30,M,2693,Divorcé(e),Consultant,1,1,0,1,2,24,1,Infra & Cloud,Occasionnel,0
4,2,3,2,3,4,Non,12,38,M,9526,Célibataire,Tech Lead,0,9,0,0,2,23,3,Infra & Cloud,Frequent,1
3,3,3,2,2,3,Non,13,36,M,5237,Marié(e),Manager,6,7,0,2,3,27,3,Transformation Digitale,Occasionnel,7
1,4,2,3,3,3,Non,14,35,M,2426,Marié(e),Consultant,0,5,0,1,5,16,3,Transformation Digitale,Occasionnel,0
4,2,3,4,3,3,Oui,15,29,F,4193,Célibataire,Consultant,0,9,0,0,3,15,2,Infra & Cloud,Occasionnel,0
1,3,3,4,2,3,Non,16,31,M,2911,Divorcé(e),Assistant de Direction,1,5,0,1,1,26,1,Infra & Cloud,Occasionnel,4
2,3,4,3,3,3,Non,18,34,M,2661,Divorcé(e),Consultant,0,2,0,1,2,19,2,Transformation Digitale,Occasionnel,1
3,2,3,2,3,3,Oui,19,28,M,2028,Célibataire,Consultant,5,4,1,0,4,24,3,Infra & Cloud,Occasionnel,0
2,4,1,3,3,3,Non,20,29,F,9980,Divorcé(e),Tech Lead,1,10,0,1,1,21,4,Infra & Cloud,Occasionnel,8
1,4,2,4,2,3,Oui,21,32,M,3298,Divorcé(e),Assistant de Direction,0,6,0,2,5,5,2,Infra & Cloud,Occasionnel,0
4,4,4,2,2,3,Oui,22,22,M,2935,Divorcé(e),Consultant,1,1,0,2,2,16,2,Transformation Digitale,Aucun,0
1,2,4,3,3,3,Non,23,53,F,15427,Marié(e),Senior Manager,2,25,0,0,3,2,4,Infra & Cloud,Occasionnel,3
4,3,4,3,3,3,Oui,24,38,M,3944,Célibataire,Assistant de Direction,5,3,0,0,3,2,3,Infra & Cloud,Occasionnel,1
1,4,3,4,2,3,Non,26,24,F,4011,Divorcé(e),Tech Lead,0,4,0,1,5,11,2,Autre,Aucun,1
